TIMESTAMP,BAROMETRIC_PRESSURE(KPA),ENGINE_COOLANT_TEMP,FUEL_LEVEL,ENGINE_LOAD,AMBIENT_AIR_TEMP,ENGINE_RPM,INTAKE_MANIFOLD_PRESSURE,MAF,LONG TERM FUEL TRIM BANK 2,AIR_INTAKE_TEMP,FUEL_PRESSURE,SPEED,SHORT TERM FUEL TRIM BANK 2,SHORT TERM FUEL TRIM BANK 1,ENGINE_RUNTIME,THROTTLE_POS,DTC_NUMBER,TROUBLE_CODES,TIMING_ADVANCE,EQUIV_RATIO,MIN,HOURS,DAYS_OF_WEEK,MONTHS,YEAR
1502902504267,100,80,48.60%,33.30%,,1009,49,4.49,,59,,0,,,00:03:28,25%,MIL is OFF0 codes,,56.9%,1.0%,13,16,2,8,2017
1502902512283,100,80,48.60%,32.50%,,1003,52,4.51,,59,,0,,,00:03:35,25%,MIL is OFF0 codes,,56.5%,1.0%,13,16,2,8,2017
1502902520291,100,80,48.60%,32.90%,,995,51,4.48,,59,,0,,,00:03:43,25%,MIL is OFF0 codes,,57.3%,1.0%,13,16,2,8,2017
1502902528300,100,80,48.60%,32.50%,,1004,51,4.51,,60,,0,,,00:03:51,25%,MIL is OFF0 codes,,56.5%,1.0%,13,16,2,8,2017
1502902536320,100,80,48.60%,32.90%,,1005,49,4.49,,60,,0,,,00:03:59,25%,MIL is OFF0 codes,,56.9%,1.0%,13,16,2,8,2017
1502902544348,100,81,48.60%,32.90%,,1019,50,4.56,,60,,0,,,00:04:07,25%,MIL is OFF0 codes,,56.5%,1.0%,13,16,2,8,2017
1502902552372,100,81,48.60%,33.30%,,1002,49,4.57,,61,,0,,,00:04:15,25%,MIL is OFF0 codes,,56.5%,1.0%,13,16,2,8,2017
1502902560377,100,81,48.60%,33.30%,,1001,50,4.45,,61,,0,,,00:04:23,25%,MIL is OFF0 codes,,57.3%,1.0%,13,16,2,8,2017
1502902568389,100,81,48.60%,33.30%,,1004,52,4.52,,61,,0,,,00:04:31,25%,MIL is OFF0 codes,,56.9%,1.0%,13,16,2,8,2017
1502902576403,100,81,48.60%,32.90%,,1010,52,4.6,,62,,0,,,00:04:39,25%,MIL is OFF0 codes,,58.4%,1.0%,13,16,2,8,2017
