TIMESTAMP,CARS_ID,BAROMETRIC_PRESSURE(KPA),ENGINE_COOLANT_TEMP,FUEL_LEVEL,ENGINE_LOAD,AMBIENT_AIR_TEMP,ENGINE_RPM,INTAKE_MANIFOLD_PRESSURE,MAF,LONG TERM FUEL TRIM BANK 2,AIR_INTAKE_TEMP,FUEL_PRESSURE,SPEED,SHORT TERM FUEL TRIM BANK 2,SHORT TERM FUEL TRIM BANK 1,ENGINE_RUNTIME,THROTTLE_POS,DTC_NUMBER,TROUBLE_CODES,TIMING_ADVANCE,EQUIV_RATIO,MIN,HOURS,DAYS_OF_WEEK,MONTHS,YEAR
1.50E+12,carID1,100,80,48.60%,33.30%,,1009,49,4.49,,59,,0,,,0:03:28,25%,MIL is OFF0 codes,,56.90%,1.00%,13,16,2,8,2017
1.50E+12,carID1,100,80,48.60%,32.50%,,1003,52,4.51,,59,,0,,,0:03:35,25%,MIL is OFF0 codes,,56.50%,1.00%,13,16,2,8,2017
1.50E+12,carID1,100,80,48.60%,32.90%,,995,51,4.48,,59,,0,,,0:03:43,25%,MIL is OFF0 codes,,57.30%,1.00%,13,16,2,8,2017
1.50E+12,carID1,100,80,48.60%,32.50%,,1004,51,4.51,,60,,0,,,0:03:51,25%,MIL is OFF0 codes,,56.50%,1.00%,13,16,2,8,2017
1.50E+12,carID1,100,80,48.60%,32.90%,,1005,49,4.49,,60,,0,,,0:03:59,25%,MIL is OFF0 codes,,56.90%,1.00%,13,16,2,8,2017
1.50E+12,carID1,100,81,48.60%,32.90%,,1019,50,4.56,,60,,0,,,0:04:07,25%,MIL is OFF0 codes,,56.50%,1.00%,13,16,2,8,2017
1.50E+12,carID1,100,81,48.60%,33.30%,,1002,49,4.57,,61,,0,,,0:04:15,25%,MIL is OFF0 codes,,56.50%,1.00%,13,16,2,8,2017
1.50E+12,carID1,100,81,48.60%,33.30%,,1001,50,4.45,,61,,0,,,0:04:23,25%,MIL is OFF0 codes,,57.30%,1.00%,13,16,2,8,2017
1.50E+12,carID1,100,81,48.60%,33.30%,,1004,52,4.52,,61,,0,,,0:04:31,25%,MIL is OFF0 codes,,56.90%,1.00%,13,16,2,8,2017
1.50E+12,carID1,100,81,48.60%,32.90%,,1010,52,4.6,,62,,0,,,0:04:39,25%,MIL is OFF0 codes,,58.40%,1.00%,13,16,2,8,2017
1.50E+12,carID1,100,81,48.60%,34.50%,,1008,49,4.71,,62,,0,,,0:04:47,26%,MIL is OFF0 codes,,56.90%,1.00%,13,16,2,8,2017
1.50E+12,carID1,100,81,48.60%,34.50%,,1005,50,4.67,,62,,0,,,0:04:55,26%,MIL is OFF0 codes,,56.50%,1.00%,13,16,2,8,2017
1.50E+12,carID1,100,81,48.60%,34.10%,,1004,51,4.74,,63,,0,,,0:05:03,26%,MIL is OFF0 codes,,55.70%,1.00%,13,16,2,8,2017
1.50E+12,carID1,100,81,48.60%,34.90%,,998,53,4.72,,63,,0,,,0:05:11,26%,MIL is OFF0 codes,,56.10%,1.00%,13,16,2,8,2017
1.50E+12,carID1,100,81,48.60%,34.90%,,999,92,4.72,,63,,0,,,0:05:19,26%,MIL is OFF0 codes,,55.70%,1.00%,13,16,2,8,2017
1.50E+12,carID1,100,81,48.60%,37.30%,,1589,47,7.86,,64,,0,,,0:05:27,22%,MIL is OFF0 codes,,60.00%,1.00%,13,16,2,8,2017
1.50E+12,carID1,100,81,48.60%,26.70%,,2955,33,11.43,,65,,0,,,0:05:35,32%,MIL is OFF0 codes,,77.60%,1.00%,13,16,2,8,2017
1.50E+12,carID1,100,82,48.60%,36.90%,,1050,50,5.04,,65,,0,,,0:05:43,26%,MIL is OFF0 codes,,53.70%,1.00%,13,16,2,8,2017
1.50E+12,carID1,100,77,51.00%,29.40%,,1005,46,4.16,,42,,0,,,0:02:40,24%,MIL is OFF0 codes,,56.90%,1.00%,0,19,2,8,2017
1.50E+12,carID1,100,79,51.00%,36.50%,,1004,51,5.49,,43,,8,,,0:02:47,27%,MIL is OFF0 codes,,54.90%,1.00%,0,19,2,8,2017
